,,,,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx
column,row,X,Y,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11,Layer 12,Layer 13,Layer 14,Layer 15,Layer 16,Layer 17,Layer 18,Layer 19,Layer 20,Layer 21,Layer 22,Layer 23,Layer 24,Layer 25,Layer 26,Layer 27,Layer 28,Layer 29,Layer 30,Layer 31,Layer 32,Layer 33,Layer 34,Layer 35,Layer 36,Layer 37,Layer 38,Layer 39,Layer 40,Layer 41,Layer 42,Layer 43,Layer 44
28,1,38.53,56.24,10.3921,9.9404,9.9619,10.1916,9.9436,8.9618,9.8642,10.8489,11.3053,9.8038,10.2208,10.0905,10.0446,12.3963,12.146,11.4518,11.5828,23.3342,21.4113,23.4328,25.5543,23.555,24.501,23.4955,26.6112,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
29,1,38.73,56.24,10.3921,9.9406,9.9626,10.1926,9.945,8.9638,9.867,10.8518,11.3092,9.8067,10.2252,10.0968,10.0502,12.4018,12.1494,11.4552,11.5857,23.3369,21.4143,23.4355,25.5578,23.5588,24.5049,23.4987,26.6142,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
30,1,38.93,56.24,10.3921,9.9409,9.9631,10.1935,9.9463,8.9661,9.8695,10.8551,11.3129,9.8097,10.2295,10.1031,10.0555,12.4075,12.1524,11.4587,11.5889,23.3391,21.4168,23.4382,25.5619,23.5626,24.5083,23.5025,26.6179,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
31,1,39.13,56.24,10.3921,9.9413,9.9635,10.1944,9.9477,8.9682,9.872,10.8581,11.3168,9.8126,10.234,10.1094,10.0608,12.4132,12.1558,11.4624,11.5919,23.3412,21.4197,23.4409,25.5661,23.5659,24.5123,23.5057,26.621,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
32,1,39.33,56.24,10.3921,9.9415,9.964,10.1952,9.9493,8.9702,9.8747,10.8613,11.3207,9.8158,10.2384,10.1156,10.0664,12.4189,12.1589,11.466,11.5948,23.3439,21.4222,23.4436,25.5696,23.5697,24.5162,23.509,26.624,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
33,1,39.53,56.24,10.3921,9.9418,9.9645,10.1961,9.9507,8.9725,9.8772,10.8644,11.3246,9.8187,10.2429,10.1219,10.0717,12.4246,12.1622,11.4695,11.5977,23.3461,21.4247,23.4468,25.5737,23.5729,24.5202,23.5122,26.6277,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
34,1,39.73,56.24,10.3923,9.942,9.9649,10.197,9.9521,8.9746,9.8797,10.8676,11.3285,9.8216,10.2474,9.8847,10.0773,12.4306,12.1656,11.4732,11.6007,23.3488,21.4276,23.4495,25.5778,23.9323,24.5236,23.5155,26.6308,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
35,1,39.93,56.24,10.3923,9.9422,9.9656,10.1977,9.9535,8.9764,9.8822,10.8709,11.3324,9.8246,10.2521,9.8904,10.0826,12.4364,12.1692,11.4769,11.6039,23.3509,21.4301,23.4522,25.582,23.9361,24.5275,23.5187,26.6344,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
36,1,40.13,56.24,10.3923,9.9425,9.9661,10.1987,9.9548,8.9785,9.8847,10.8741,11.3364,9.8275,10.2568,9.8963,10.3336,12.4424,12.1726,11.4806,11.6068,23.3536,21.4325,23.4549,25.5855,23.94,24.5315,23.522,26.6375,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
37,1,40.33,56.24,10.3923,9.9427,9.9665,10.1996,9.9562,8.9806,9.8872,10.8774,11.3405,9.8307,10.2616,9.9022,10.3391,12.4484,12.176,11.4843,11.6098,23.3557,21.435,23.4581,25.5896,23.9433,24.5354,23.5252,26.6406,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
